company,code,update_date,pdf_report
好配当日本株ファンド（ラップ向け）,E11518,2022-07-06 09:06:00,https://disclosure.edinet-fsa.go.jp/E01EW/download?1657168569070&uji.bean=ee.bean.parent.EECommonSearchBean&uji.verb=W0EZA104CXP001003Action&SESSIONKEY=1657168568592&s=S100O675
ＨＳＢＣオルタナティブ・バランス・ファンド,E12492,2022-07-06 09:06:00,https://disclosure.edinet-fsa.go.jp/E01EW/download?1657168569070&uji.bean=ee.bean.parent.EECommonSearchBean&uji.verb=W0EZA104CXP001003Action&SESSIONKEY=1657168568592&s=S100O883
ダイワ・グローバルＩｏＴ関連株ファンド　－ＡＩ新時代－（為替ヘッジあり／為替ヘッジなし）,E06748,2022-07-06 09:04:00,https://disclosure.edinet-fsa.go.jp/E01EW/download?1657168569070&uji.bean=ee.bean.parent.EECommonSearchBean&uji.verb=W0EZA104CXP001003Action&SESSIONKEY=1657168568592&s=S100OF5H
日本優良成長株オープン（米ドル投資型）、日本優良成長株オープン（円投資型）,E12441,2022-07-05 09:34:00,https://disclosure.edinet-fsa.go.jp/E01EW/download?1657168569072&uji.bean=ee.bean.parent.EECommonSearchBean&uji.verb=W0EZA104CXP001003Action&SESSIONKEY=1657168568592&s=S100NX3Z
バリュー・ボンド・ファンド＜為替リスク軽減型＞／＜為替ヘッジなし＞（年１回決算型）,E11518,2022-07-05 09:21:00,https://disclosure.edinet-fsa.go.jp/E01EW/download?1657168569072&uji.bean=ee.bean.parent.EECommonSearchBean&uji.verb=W0EZA104CXP001003Action&SESSIONKEY=1657168568592&s=S100O69G
バリュー・ボンド・ファンド＜為替リスク軽減型＞／＜為替ヘッジなし＞（毎月決算型）,E11518,2022-07-05 09:20:00,https://disclosure.edinet-fsa.go.jp/E01EW/download?1657168569072&uji.bean=ee.bean.parent.EECommonSearchBean&uji.verb=W0EZA104CXP001003Action&SESSIONKEY=1657168568592&s=S100O69E
ニッセイ日本勝ち組ファンド（３ヵ月決算型）,E12453,2022-07-05 09:18:00,https://disclosure.edinet-fsa.go.jp/E01EW/download?1657168569072&uji.bean=ee.bean.parent.EECommonSearchBean&uji.verb=W0EZA104CXP001003Action&SESSIONKEY=1657168568592&s=S100OLG8
ＳＭＤＡＭ　トピックス上場投信,E08957,2022-07-05 09:12:00,https://disclosure.edinet-fsa.go.jp/E01EW/download?1657168569072&uji.bean=ee.bean.parent.EECommonSearchBean&uji.verb=W0EZA104CXP001003Action&SESSIONKEY=1657168568592&s=S100O4PG
ダイワ米国高金利社債ファンド（通貨選択型）：米ドル・コース（毎月分配型）、豪ドル・コース（毎月分配型）、ブラジル・レアル・コース（毎月分配型）、日本円・コース（毎月分配型）、南アフリカ・ランド・コース（毎月分配型）、トルコ・リラ・コース（毎月分配型）、通貨セレクト・コース（毎月分配型）,E06748,2022-07-05 09:09:00,https://disclosure.edinet-fsa.go.jp/E01EW/download?1657168569072&uji.bean=ee.bean.parent.EECommonSearchBean&uji.verb=W0EZA104CXP001003Action&SESSIONKEY=1657168568592&s=S100OF3F
ＳＭＤＡＭ　日経２２５上場投信,E08957,2022-07-05 09:07:00,https://disclosure.edinet-fsa.go.jp/E01EW/download?1657168569073&uji.bean=ee.bean.parent.EECommonSearchBean&uji.verb=W0EZA104CXP001003Action&SESSIONKEY=1657168568592&s=S100OB64
